菜品名,热量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水化合物(g/100g),钠(mg/100g)
白米饭,116,2.6,0.3,25.6,2
糙米饭,112,2.6,0.8,23.3,2
馒头,221,7.0,1.0,47.0,201
面条,138,4.5,0.5,29.9,142
宫保鸡丁,195,18.5,11.2,7.8,850
红烧肉,489,9.5,48.0,0.1,800
清蒸鱼,104,17.8,3.7,0.0,120
鸡胸肉,133,24.6,5.0,0.0,65
牛肉,250,26.1,17.5,0.3,60
西兰花,34,4.3,0.4,6.6,24
番茄,19,0.9,0.2,4.0,5
白菜,17,1.5,0.2,3.2,73
菠菜,24,2.9,0.3,2.9,85
黄瓜,15,0.8,0.2,2.9,4
鸡蛋,147,13.3,8.8,2.8,131
豆腐,81,8.1,3.7,4.8,7
牛奶,54,3.0,3.2,4.9,42
紫菜蛋花汤,15,1.5,1.0,1.5,350
番茄蛋汤,30,2.0,2.0,3.0,300
冬瓜汤,11,0.5,0.2,2.0,100
